"Customer","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio","Churned","Pred_Prob","Risk_Level"
1,45,"M",3,"High School","Married","$60K - $80K",39,5,1,3,12691,777,11914,1.335,1144,42,1.625,0.061,0,0.275785086896547,"Medium"
2,49,"F",5,"Graduate","Single","Less than $40K",44,6,1,2,8256,864,7392,1.541,1291,33,3.714,0.105,0,0.40351875459572,"Medium"
3,51,"M",3,"Graduate","Married","$80K - $120K",36,4,1,0,3418,0,3418,2.594,1887,20,2.333,0,0,0.677163891850118,"High"
4,40,"F",4,"High School","Unknown","Less than $40K",34,3,4,1,3313,2517,796,1.405,1171,20,2.333,0.76,0,0.221711525585353,"Low"
5,40,"M",3,"Uneducated","Married","$60K - $80K",21,5,1,0,4716,0,4716,2.175,816,28,2.5,0,0,0.359164085971674,"Medium"
6,44,"M",2,"Graduate","Married","$40K - $60K",36,3,1,2,4010,1247,2763,1.376,1088,24,0.846,0.311,0,0.51069403837096,"High"
7,51,"M",4,"Unknown","Married","$120K +",46,6,1,3,34516,2264,32252,1.975,1330,31,0.722,0.066,0,0.294570142835164,"Medium"
8,32,"M",0,"High School","Unknown","$60K - $80K",27,2,2,2,29081,1396,27685,2.204,1538,36,0.714,0.048,0,0.190309577983575,"Low"
9,37,"M",3,"Uneducated","Single","$60K - $80K",36,5,2,0,22352,2517,19835,3.355,1350,24,1.182,0.113,0,0.241642418034196,"Low"
10,48,"M",2,"Graduate","Single","$80K - $120K",36,6,3,3,11656,1677,9979,1.524,1441,32,0.882,0.144,0,0.493789473735473,"Medium"
11,42,"M",5,"Uneducated","Unknown","$120K +",31,5,3,2,6748,1467,5281,0.831,1201,42,0.68,0.217,0,0.171169601872779,"Low"
12,65,"M",1,"Unknown","Married","$40K - $60K",54,6,2,3,9095,1587,7508,1.433,1314,26,1.364,0.174,0,0.636969814161744,"High"
13,56,"M",1,"College","Single","$80K - $120K",36,3,6,0,11751,0,11751,3.397,1539,17,3.25,0,0,0.618549267247946,"High"
14,35,"M",3,"Graduate","Unknown","$60K - $80K",30,5,1,3,8547,1666,6881,1.163,1311,33,2,0.195,0,0.456760897687401,"Medium"
